num,color
1,#FF0000
2,#FF7F00
3,#FFFF00
4,#7FFF00
5,#00FF00
6,#00FF7F
7,#00FFFF
8,#007FFF
9,#0000FF
10,#7F00FF
11,#FF00FF
12,#FF007F
13,#FF4500
14,#FFD700
15,#ADFF2F
16,#00FA9A
17,#1E90FF
18,#8A2BE2
19,#FF69B4
20,#FFB6C1
21,#FF8C00
22,#FFA500
23,#98FB98
24,#00CED1
25,#4682B4
26,#7B68EE
27,#BA55D3
28,#FF6347
29,#40E0D0
30,#FF1493
31,#C71585
32,#B22222
33,#A52A2A
34,#D2691E
35,#FF7F50
36,#FFE4B5
37,#FFDEAD
38,#FF8C69
39,#FFF0F5
40,#E6E6FA
41,#F0E68C
42,#C0C0C0
43,#808080
44,#696969
45,#2F4F4F
46,#000000
47,#A9A9A9
48,#FF3030
49,#FFDAB9
