,terr,longs,lats,hull,path,coordinates
0,3942,[-81.545384 -81.81181  -81.207128 -81.115178 -81.116143],[39.777822 38.92166  39.388994 39.762345 39.762441],<scipy.spatial._qhull.ConvexHull object at 0x139b1a760>,"[[-81.545384  39.777822]
 [-81.81181   38.92166 ]
 [-81.207128  39.388994]
 [-81.115178  39.762345]
 [-81.116143  39.762441]]","[[-81.545384  39.777822]
 [-81.81181   38.92166 ]
 [-81.207128  39.388994]
 [-81.115178  39.762345]
 [-81.116143  39.762441]]"
1,4006,[-79.588102 -79.908137 -80.167953 -80.19007  -79.912834 -79.75869 ],[40.01794  40.364304 40.275609 39.892744 39.799623 39.819555],<scipy.spatial._qhull.ConvexHull object at 0x139b1aac0>,"[[-79.588102  40.01794 ]
 [-79.908137  40.364304]
 [-80.167953  40.275609]
 [-80.19007   39.892744]
 [-79.912834  39.799623]
 [-79.75869   39.819555]]","[[-79.588102  40.01794 ]
 [-79.908137  40.364304]
 [-80.167953  40.275609]
 [-80.19007   39.892744]
 [-79.912834  39.799623]
 [-79.75869   39.819555]]"
2,4007,"[-80.31276  -80.493748 -80.2252   -80.039518 -79.891182 -79.890138
 -79.957726 -80.23934 ]","[39.368449 38.948604 38.978072 39.152122 39.648279 39.653796 39.630585
 39.4449  ]",<scipy.spatial._qhull.ConvexHull object at 0x139b1adc0>,"[[-80.31276   39.368449]
 [-80.493748  38.948604]
 [-80.2252    38.978072]
 [-80.039518  39.152122]
 [-79.891182  39.648279]
 [-79.890138  39.653796]
 [-79.957726  39.630585]
 [-80.23934   39.4449  ]]","[[-80.31276   39.368449]
 [-80.493748  38.948604]
 [-80.2252    38.978072]
 [-80.039518  39.152122]
 [-79.891182  39.648279]
 [-79.890138  39.653796]
 [-79.957726  39.630585]
 [-80.23934   39.4449  ]]"
3,4051,[-80.282229 -80.629863 -80.039765 -79.113154],[41.703879 41.021018 40.697465 41.168319],<scipy.spatial._qhull.ConvexHull object at 0x139b0bfd0>,"[[-80.282229  41.703879]
 [-80.629863  41.021018]
 [-80.039765  40.697465]
 [-79.113154  41.168319]]","[[-80.282229  41.703879]
 [-80.629863  41.021018]
 [-80.039765  40.697465]
 [-79.113154  41.168319]]"
4,4052,[-79.859896 -79.827538 -79.930419 -80.073246 -79.986905],[40.383931 40.465282 40.474018 40.472438 40.395183],<scipy.spatial._qhull.ConvexHull object at 0x1399a8a90>,"[[-79.859896  40.383931]
 [-79.827538  40.465282]
 [-79.930419  40.474018]
 [-80.073246  40.472438]
 [-79.986905  40.395183]]","[[-79.859896  40.383931]
 [-79.827538  40.465282]
 [-79.930419  40.474018]
 [-80.073246  40.472438]
 [-79.986905  40.395183]]"
5,4054,"[-80.40586  -80.330895 -80.183766 -80.164673 -80.284115 -80.299369
 -80.373724]",[40.761765 40.491444 40.535396 40.561533 40.700995 40.717182 40.772835],<scipy.spatial._qhull.ConvexHull object at 0x1399a8a60>,"[[-80.40586   40.761765]
 [-80.330895  40.491444]
 [-80.183766  40.535396]
 [-80.164673  40.561533]
 [-80.284115  40.700995]
 [-80.299369  40.717182]
 [-80.373724  40.772835]]","[[-80.40586   40.761765]
 [-80.330895  40.491444]
 [-80.183766  40.535396]
 [-80.164673  40.561533]
 [-80.284115  40.700995]
 [-80.299369  40.717182]
 [-80.373724  40.772835]]"
6,4058,[-80.00288  -79.934236 -80.005803 -80.167072 -80.243269 -80.113508],[40.266056 40.450998 40.604942 40.519594 40.441283 40.331459],<scipy.spatial._qhull.ConvexHull object at 0x1399a8910>,"[[-80.00288   40.266056]
 [-79.934236  40.450998]
 [-80.005803  40.604942]
 [-80.167072  40.519594]
 [-80.243269  40.441283]
 [-80.113508  40.331459]]","[[-80.00288   40.266056]
 [-79.934236  40.450998]
 [-80.005803  40.604942]
 [-80.167072  40.519594]
 [-80.243269  40.441283]
 [-80.113508  40.331459]]"
7,4059,"[-80.533829 -80.600315 -80.87378  -81.161644 -81.175033 -80.735501
 -80.63898 ]",[40.396777 40.477611 40.445161 39.988667 39.957426 40.014921 40.12612 ],<scipy.spatial._qhull.ConvexHull object at 0x1399a8a30>,"[[-80.533829  40.396777]
 [-80.600315  40.477611]
 [-80.87378   40.445161]
 [-81.161644  39.988667]
 [-81.175033  39.957426]
 [-80.735501  40.014921]
 [-80.63898   40.12612 ]]","[[-80.533829  40.396777]
 [-80.600315  40.477611]
 [-80.87378   40.445161]
 [-81.161644  39.988667]
 [-81.175033  39.957426]
 [-80.735501  40.014921]
 [-80.63898   40.12612 ]]"
8,4187,[-81.631791 -81.758145 -81.655104 -81.566946],[38.54318  38.379186 38.332251 38.312838],<scipy.spatial._qhull.ConvexHull object at 0x139b1a280>,"[[-81.631791  38.54318 ]
 [-81.758145  38.379186]
 [-81.655104  38.332251]
 [-81.566946  38.312838]]","[[-81.631791  38.54318 ]
 [-81.758145  38.379186]
 [-81.655104  38.332251]
 [-81.566946  38.312838]]"
9,4191,[-82.985658 -83.322414 -83.192162 -82.433597 -82.432782],[39.126759 38.71776  38.622902 38.423718 38.423859],<scipy.spatial._qhull.ConvexHull object at 0x139b1a2b0>,"[[-82.985658  39.126759]
 [-83.322414  38.71776 ]
 [-83.192162  38.622902]
 [-82.433597  38.423718]
 [-82.432782  38.423859]]","[[-82.985658  39.126759]
 [-83.322414  38.71776 ]
 [-83.192162  38.622902]
 [-82.433597  38.423718]
 [-82.432782  38.423859]]"
